City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,fort frances,48.5999,-93.4003,-2.69,77,100,6.69,CA,1668135614
251,yankton,42.8711,-97.3973,-6.6,65,6,8.13,US,1668135438
252,yar-sale,66.8333,70.8333,-13.36,97,100,3.71,RU,1668135451
253,morros,-9.4467,-46.3003,22.32,85,90,0.76,BR,1668135665
254,constitucion,-35.3333,-72.4167,11.83,87,100,2.38,CL,1668135664
255,warrington,53.3925,-2.5802,15.81,81,100,8.23,GB,1668135668
256,winneba,5.3511,-0.6231,25.08,85,100,3.46,GH,1668135669
257,touros,-5.1989,-35.4608,25.05,78,38,5.62,BR,1668135669
258,guerrero negro,27.9769,-114.0611,17.89,62,1,7.55,MX,1668135671
259,boyolangu,-8.1181,111.8935,29.34,69,61,3.02,ID,1668135672
260,bardiyah,31.7561,25.0865,18.24,60,0,4.2,LY,1668135673
261,marrakesh,31.6315,-8.0083,16.04,44,0,1.03,MA,1668135612
262,krasnoselkup,65.7,82.4667,-16.74,88,100,4.81,RU,1668135674
263,san-pedro,4.7485,-6.6363,24.28,89,97,2.26,CI,1668135675
264,kailahun,8.2833,-10.5667,20.55,95,42,0.75,SL,1668135676
265,charters towers,-20.1,146.2667,31.83,30,0,3.06,AU,1668135677
266,hami,42.8,93.45,3.61,37,7,4.93,CN,1668135677
267,dudinka,69.4058,86.1778,-16.32,95,100,8.88,RU,1668135678
268,mendi,-6.1761,143.6513,14.96,96,100,0.53,PG,1668135679
269,egvekinot,66.3167,-179.1667,-18.8,94,66,2.82,RU,1668135680
270,kroya,-7.6331,109.2461,28.55,74,99,3.44,ID,1668135680
271,sao filipe,14.8961,-24.4956,24.87,73,100,2.01,CV,1668135681
272,xichang,27.8964,102.2634,16.55,62,0,1.48,CN,1668135682
273,muros,42.7762,-9.0603,14.53,96,18,2.91,ES,1668135506
274,lashio,22.9333,97.75,21.52,53,3,0.4,MM,1668135682
275,tha mai,12.6214,102.0048,32.76,100,100,3.17,TH,1668135683
276,talcahuano,-36.7167,-73.1167,12.38,92,100,1.93,CL,1668135616
277,tarauaca,-8.1614,-70.7656,22.78,98,100,0.75,BR,1668135683
278,itarema,-2.9248,-39.9167,25.96,76,4,5.53,BR,1668135684
279,manuk mangkaw,4.8,119.85,28.16,72,52,1.03,PH,1668135684
280,kitui,-1.367,38.0106,16.87,88,100,0.97,KE,1668135685
281,zhongshu,24.5167,103.7667,17.76,60,0,3.59,CN,1668135685
282,hualmay,-11.0964,-77.6139,17.68,83,28,4.23,PE,1668135686
283,pimentel,-6.8367,-79.9342,16.92,88,61,5.77,PE,1668135686
284,bheramara,24.0232,88.9925,25.75,60,24,2.39,BD,1668135687
285,salisbury,51.0693,-1.7957,15.38,84,100,7.2,GB,1668135688
